# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_lambda         13:(.)rho_ur             14:(.)rho_crit           15:gr.fac. D             16:gr.fac. f          
       1.000000000000e+14       7.558503632224e-26       4.634785000235e-09       2.157545946648e+22       1.415978337886e+04       1.415978337886e-10       1.415978337886e+18       2.675958164815e-09       2.751560535470e+44       2.492336125560e+33       1.335180067264e+34       3.514718695138e-08       1.903443976270e+44       4.655004511898e+44       5.542856409009e-20       2.000000000000e+14 
       9.930486593843e+13       7.664693049753e-26       4.667526809499e-09       2.127654528182e+22       1.415978337886e+04       1.425890186251e-10       1.406135390155e+18       2.694689871968e-09       2.675846458098e+44       2.440721353921e+33       1.307529296744e+34       3.514718695138e-08       1.851067333040e+44       4.526913791294e+44       7.732965061148e-08       1.433565615564e+02 
       9.861456399050e+13       7.772374322409e-26       4.700268618762e-09       2.098177236191e+22       1.415978337886e+04       1.435871417555e-10       1.396360864106e+18       2.713552701072e-09       2.602215788102e+44       2.390175492942e+33       1.280451156933e+34       3.514718695138e-08       1.800131926217e+44       4.402347714471e+44       1.546593012229e-07       7.167828077820e+01 
       9.792906056653e+13       7.881568409264e-26       4.733010428026e-09       2.069108333218e+22       1.415978337886e+04       1.445922517478e-10       1.386654284117e+18       2.732547569979e-09       2.530611196824e+44       2.340676406129e+33       1.253933788998e+34       3.514718695138e-08       1.750598097619e+44       4.281209294592e+44       2.319889518343e-07       4.778552051880e+01 
       9.724832231036e+13       7.992296563846e-26       4.765752237290e-09       2.040442161294e+22       1.415978337886e+04       1.456043975100e-10       1.377015177872e+18       2.751675402969e-09       2.460976933110e+44       2.292202415425e+33       1.227965579692e+34       3.514718695138e-08       1.702427280332e+44       4.163404213587e+44       3.093186024457e-07       3.583914038910e+01 
       9.657231609767e+13       8.104580338272e-26       4.800313035958e-09       2.012173140839e+22       1.415978337886e+04       1.466236282926e-10       1.367443076338e+18       2.770937130790e-09       2.393258779894e+44       2.244732291709e+33       1.202535156273e+34       3.514718695138e-08       1.655581968676e+44       4.048840748713e+44       3.866482530571e-07       2.867131231128e+01 
       9.590100903443e+13       8.218441587444e-26       4.833054845221e-09       1.984295769572e+22       1.415978337886e+04       1.476499936906e-10       1.357937513741e+18       2.790333690705e-09       2.327404011992e+44       2.198245245504e+33       1.177631381520e+34       3.514718695138e-08       1.610025689010e+44       3.937429701143e+44       4.639779036685e-07       2.389276025940e+01 
       9.523436845525e+13       8.333902473306e-26       4.867615643889e-09       1.956804621446e+22       1.415978337886e+04       1.486835436464e-10       1.348498027549e+18       2.809866026540e-09       2.263361355047e+44       2.152720917871e+33       1.153243348859e+34       3.514718695138e-08       1.565722971329e+44       3.829084326512e+44       5.413075542799e-07       2.047950879377e+01 
       9.457236192179e+13       8.450985469153e-26       4.900357453153e-09       1.929694345585e+22       1.415978337886e+04       1.497243284520e-10       1.339124158440e+18       2.829535088726e-09       2.201080945604e+44       2.108139371490e+33       1.129360377584e+34       3.514718695138e-08       1.522639321645e+44       3.723720267383e+44       6.186372048912e-07       1.791957019455e+01 
       9.391495722125e+13       8.569713364009e-26       4.934918251820e-09       1.902959665248e+22       1.415978337886e+04       1.507723987511e-10       1.329815450287e+18       2.849341834347e-09       2.140514292293e+44       2.064481081933e+33       1.105972008179e+34       3.514718695138e-08       1.480741195137e+44       3.621255487561e+44       6.959668555026e-07       1.592850683960e+01 
